lsoa,mean_household_income,energy efficiency,fuel poverty,year_built,heating score,ownership score
E01000276,71693,54.9025641025641,13.0,1939,102.39559014267184,74.933242506812
E01000277,37776,66.5,10.6,1992,154.4669260700389,106.95538147138964
E01000278,70439,55.65686274509804,13.0,1939,101.20060527453522,73.7108310626703
E01000279,85298,55.58962264150944,7.8,1939,102.78642455685257,76.56403269754769
E01000280,77277,55.859223300970875,7.0,1939,100.6290531776913,75.08549046321528
E01000281,38817,59.613861386138616,10.5,1972,95.62300043233896,63.89134877384196
E01000282,59498,49.79365079365079,12.1,1939,129.42931258106356,93.58106267029972
E01000283,73308,54.041666666666664,10.7,1939,97.9325551232166,71.95776566757492
E01000284,39432,65.24778761061947,12.9,1918,156.9632511889321,111.42574931880108
E01000285,39954,64.40677966101696,11.6,1999,122.79031560743624,88.62908719346046
E01000286,35006,62.410828025477706,10.0,1929,131.66277561608302,96.41859673024524
E01000287,34772,63.69257950530035,9.4,1954,125.24513618677044,90.98467302452316
E01000288,42269,61.86274509803921,10.9,1939,114.92563769995677,83.39100817438691
E01000289,27820,62.921052631578945,8.8,1972,126.2395157803718,95.36137602179836
E01000290,39584,62.0210970464135,16.1,1992,135.29139645482056,102.61614441416896
E01000291,29148,72.7572463768116,13.1,1972,121.14137483787287,89.40395095367846
E01000292,46725,64.45555555555555,10.7,1929,126.69909208819716,92.16825613079018
E01000293,57685,57.142105263157895,13.5,1918,129.789018590575,94.12023160762942
E01000294,43666,64.97481108312343,16.1,1939,135.93212278426287,97.34570844686648
E01000295,53444,58.97450424929178,11.2,1918,137.50670125378295,97.08276566757492
E01000296,45755,59.476851851851855,14.6,1918,146.88629485516643,100.41450953678472
E01000297,39857,60.43706293706294,9.4,1918,111.80242109814093,78.5558583106267
E01000298,44410,60.53344481605351,11.0,1918,146.91699092088197,101.31062670299728
E01000299,39036,60.66312056737589,13.7,1918,155.00389105058366,106.93051771117165
E01000300,47066,62.04750593824228,15.1,1918,134.3363597060095,95.42029972752044
E01000301,64238,60.90909090909091,15.6,1929,107.27583225248594,76.31880108991827
E01000302,39786,65.89728096676737,15.9,1982,168.05923043666232,117.4465258855586
E01000303,61407,57.04186046511628,13.3,1929,109.66839602248164,78.24250681198909
E01000305,31168,67.17480719794345,16.7,1972,125.43666234327708,92.4458446866485
E01000306,36130,62.20070422535211,15.8,1918,111.94725464764376,79.48024523160761
E01000307,33948,63.483333333333334,10.0,1929,106.06658019887593,77.72070844686651
E01000308,24740,78.16855753646678,16.2,1972,131.36878512753998,102.6549727520436
E01000309,45768,58.122093023255815,15.5,1929,124.25291828793772,86.54938692098092
E01000310,38348,59.810344827586206,11.7,1929,138.5516645049719,98.1532697547684
E01000311,66453,56.925,13.1,1929,94.9325551232166,67.79223433242508
E01000312,31579,66.67070217917676,12.2,1992,140.60916558581928,100.37125340599457
E01000314,47920,62.14987714987715,12.3,1918,131.90834414180716,92.16348773841962
E01000315,31937,65.4896265560166,10.0,1929,122.7976653696498,89.30279291553134
E01000316,38503,66.23076923076923,13.9,1918,172.87332468655427,120.75647138964575
E01000317,46146,63.586666666666666,11.1,1918,132.67444876783395,93.300068119891
E01000318,44857,56.99107142857143,12.1,1918,123.3307392996109,89.67847411444141
E01000319,52431,56.026315789473685,12.3,1918,107.46087332468656,76.79836512261579
E01000320,49636,63.83037475345168,9.0,1939,126.400345871163,91.47138964577655
E01000321,41860,62.10681399631676,7.5,1918,140.94725464764377,97.14816076294278
E01000322,40280,59.42700729927007,8.6,1939,155.72027669693037,108.1515667574932
E01000323,38290,61.687397708674304,8.9,1918,172.17942066580198,119.22138964577655
E01000324,45067,54.760416666666664,11.3,1939,131.8715953307393,95.1151226158038
E01000325,53950,56.16129032258065,10.3,1939,119.04280155642022,87.31267029972751
E01000326,43062,59.48605577689243,9.4,1929,110.15866839602246,78.85047683923705
E01000327,52476,58.101604278074866,8.7,1939,122.61392131431042,89.93937329700272
E01000328,45444,58.857142857142854,14.0,1939,120.45092952875054,88.24386920980928
E01000329,38740,68.55675675675676,12.7,1954,104.77518374405533,75.1076294277929
E01000330,37031,64.03985507246377,10.2,1982,155.1707738867272,110.97581743869208
E01000331,34390,62.47631578947368,11.6,1954,124.66536964980546,88.48024523160763
E01000332,37695,60.32051282051282,11.9,1972,122.4907047124946,89.69959128065393
E01000334,40881,59.47552447552447,9.2,1972,127.91872027669692,93.50102179836512
E01000335,31727,70.40857503152586,7.5,2014,127.64764375270212,88.21049046321525
E01000336,29772,64.53822152886116,10.8,1992,157.0549070471249,107.92029972752044
E01000339,42634,59.85971223021583,8.3,1939,122.82619974059662,86.87227520435967
E01000340,38865,56.615686274509805,9.2,1939,99.32382187635106,72.81709809264304
E01000341,44606,56.96086956521739,9.4,1939,123.3229571984436,91.38930517711172
E01000342,43489,59.37546468401487,7.9,1939,155.54993514915694,112.56471389645776
E01000343,44800,56.48689138576779,9.9,1939,111.7431906614786,80.86989100817438
E01000344,47226,57.02836879432624,8.3,1939,131.05533938607866,95.23807901907357
E01000345,51936,54.93063583815029,9.3,1939,99.0644185041072,71.97956403269755
E01000346,45089,59.30472103004292,9.1,1939,127.25335062689147,92.6358991825613
E01000347,38225,61.86725663716814,11.2,1939,124.48249027237352,90.38419618528611
E01000348,59972,52.729885057471265,9.8,1939,106.83311716385649,77.98262942779292
E01000349,53964,52.61666666666667,10.2,1939,132.55382619974057,97.18630790190734
E01000350,47348,56.71270718232044,8.7,1939,105.57328145265888,76.89611716621252
E01000351,45308,59.278301886792455,8.5,1939,125.04755728491138,91.73910081743868
E01000352,40169,59.995049504950494,7.9,1939,136.53696498054475,97.64884196185284
E01000353,52086,55.60162601626016,11.0,1939,135.25291828793772,100.9090599455041
E01000354,37948,63.814207650273225,9.2,1939,125.4362300043234,89.791553133515
E01000355,45240,55.25827814569536,8.2,1939,124.55425853869431,92.72036784741144
E01000356,46776,53.14678899082569,9.9,1939,128.07047124945956,94.5207765667575
E01000357,55127,54.916666666666664,9.1,1939,99.3341980112408,72.84638964577657
E01000358,47382,58.5219512195122,9.2,1939,133.72762645914395,98.12465940054496
E01000359,55264,55.263565891472865,10.7,1939,99.38434932987462,73.09059945504087
E01000361,46208,62.0,11.3,1939,121.9325551232166,87.69380108991824
E01000362,47421,63.317596566523605,10.7,1939,126.31214872460008,93.6525885558583
E01000363,51887,56.59090909090909,9.0,1939,114.85689580631212,84.12568119891007
E01000364,46598,62.103125,8.4,1954,132.3164721141375,96.22547683923705
E01000365,41567,60.96696696696696,15.1,1939,141.36359706009512,102.04972752043597
E01000366,48579,52.47826086956522,14.0,1939,132.78166882836143,94.67574931880108
E01000367,30750,71.33940397350993,19.1,1954,121.68958063121488,85.14611716621252
E01000368,32290,65.12732095490716,13.5,1954,127.75054042369216,87.26873297002724
E01000369,38604,57.47014925373134,10.7,1918,127.31603977518374,91.93971389645776
E01000370,45513,60.40441176470589,9.0,1939,131.6519671422395,95.55279291553131
E01000371,43306,58.476780185758514,9.4,1939,128.90575010808476,92.91791553133514
E01000372,32833,62.04521276595744,14.9,1954,119.46303501945526,84.13044959128067
E01000373,25700,70.70886075949367,4.7,1972,137.65758754863813,93.6866485013624
E01000374,28954,61.59746835443038,10.5,1929,107.83873757025508,75.44448228882834
E01000375,35439,67.44645799011532,8.4,1918,114.21184608733248,81.0391689373297
E01000376,37626,58.83793103448276,10.3,1918,122.37699956766106,87.55824250681198
E01000377,41608,64.02593659942363,10.4,1992,131.2684824902724,94.95810626702996
E01000379,38612,54.447457627118645,11.3,1939,134.21833117163854,95.7064032697548
E01000380,32470,69.7961038961039,9.5,1982,151.3017725897103,101.30892370572208
E01000381,36269,64.17312072892939,10.4,1954,132.74708171206225,93.36307901907358
E01000382,55154,57.55510204081633,6.9,1939,119.36835278858624,87.82561307901908
E01000383,42776,58.62385321100918,9.2,1939,126.936878512754,93.31777929155312
E01000384,42538,59.270875763747455,10.8,1918,157.49416342412454,111.31539509536783
E01000385,31459,68.07929515418502,11.3,1939,154.95157803718115,105.55108991825614
E01000386,30121,64.9595588235294,9.1,1972,130.0696065715521,90.17438692098092
E01000387,44741,61.35471698113208,7.8,1939,126.11413748378727,91.99182561307904
E01000388,44806,57.311557788944725,9.7,1939,126.3428447903156,92.94311989100818
E01000389,47077,68.27149321266968,9.5,1939,144.30090791180282,103.44311989100818
E01000390,47324,57.39869281045752,13.0,1939,104.5006485084306,76.64373297002724
E01000391,38194,58.07751937984496,10.0,1939,130.59014267185475,94.09094005449592
E01000392,33021,65.57122708039492,11.5,1939,138.3722438391699,95.6825613079019
E01000393,43655,57.48028673835125,13.1,1939,130.06485084306098,92.76192098092642
E01000394,47996,63.06269592476489,8.1,1939,126.02377864245568,91.19856948228882
E01000395,51040,56.91860465116279,6.8,1939,100.98616515348031,74.65292915531334
E01000396,46773,54.54487179487179,5.7,1939,103.189364461738,75.23876021798367
